IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
0B;Blue Air;;10 kg;55 x 40 x 20 cm;;23 kg; Offert   En-cas et boissons sans alcool ;NON;;+32 2 217 72 73;blueairweb.com;;Bucarest - Baneasa (BBU) ;;2004;;;;;20.3 ;9;myBlue ; Boeing 737-300 ;2; Boeing 737-400 ;6; Boeing 737-500 ;1;;;;;;;;;;;;;;;;;;;;;;;;
2B;Ak Bars Aero;__ ____ ____ ;;;;;  ;NON;;+355 45 800 100;albawings.com;;;;33989;;;;;7.1 ;1;; Canadair CRJ-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2D;Dynamic Airways;Dynamic Airways, LLC ;;;;;  ;NON;;;;;;;;;;;;27.6 ;6;; Boeing 767-200 ;4; Boeing 767-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
2I;Star Peru;Aerolíneas Star Perú ;;;;;  ;NON;;+51 1 442 0768;starperu.com;;;;35916;;;;;25.2 ;11;; Boeing 737-200 ;1; British-Aerospace 146-100 ;2; British-Aerospace 146-200 ;6; British-Aerospace 146-300 ;2;;;;;;;;;;;;;;;;;;;;;;
2J;Air Burkina;;;55x35x25cm;;50kg;  ;NON;;+33 1 43 55 27 29;air-burkina.com;Burkina Faso;Ouagadougou (OUA) ;Ouagadougou;24548;;;;;23.9 ;3;; Canadair CRJ-200 ;1; McDonnell-Douglas MD-87 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
2K;Avianca Ecuador;Aerolíneas Galápagos Aerogal S.A. ;;;;;  ;NON;;;;;;;1985;;;;;10.3 ;9;; Airbus A319-100 ;6; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
2L;helvetic;;;55 x 40 x 20 cm;;23 kg; Tous les services sont payants  ;NON;;+41 44 270 85 00;helvetic.com;Suisse;Zurich (ZRH) ;Kloten;;;;;;19.6 ;6;; Fokker F100 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2N;NextJet;Next Jet AB ;;;;;  ;NON;;;;;;;;;;;;24.1 ;6;; British-Aerospace BAe ATP ;5; Saab 340-Saab 340 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
2P;PAL Express;Air Philippines Corporation ;;;;;  ;NON;;18004359725;philippineairlines.com;;Manille (MNL) ;;39552;;;;;7.4 ;24;; Airbus A320-200 ;14; Airbus A330-300 ;1; De-Havilland-Canada DHC-8-300 ;4; De-Havilland-Canada DHC-8-400 ;5;;;;;;;;;;;;;;;;;;;;;;
2Q;flysmaland;;5 kg; 45x35x20cm;;15 kg; Tous les services sont payants  ;NON;;;;;Vaxjo (VXO) ;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2U;Sundor;;;;;;  ;NON;;;;;Tel Aviv - Ben-Gurion (TLV) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2W;Welcome Air;;5 kg;;;20kg; Tous les services sont payants  ;NON;;;;;Innsbruck (INN) ;;;;;;;;3;; Dornier Do-328 ;2; Dornier Do-328JET ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
3D;Denim Air;Emergo Hoofddorp dba Denim Airways B.V. ;;;;;  ;NON;;;;;;;35096;;;;;22.3 ;5;; ATR 42/72-ATR 42 ;1; Embraer ERJ-145 ;1; Fokker F100 ;1; Fokker F50 ;2;;;;;;;;;;;;;;;;;;;;;;
3G;Gambia Bird;;;;;;  ;NON;;;;;Banjul (BJL) ;;2012;;;;;3.1 ;2;; Airbus A319-100 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3H;Air Inuit;;;;;;  ;NON;;18003615933;airinuit.com;;;;;;;;;23.9 ;14;; Boeing 737-200 ;2; De Havilland Canada DHC-8-100 ;2; De Havilland Canada DHC-8-300 ;10;;;;;;;;;;;;;;;;;;;;;;;;
3K;Jetstar Asia;Jetstar Asia Airways Private Limited ;;56 cm x 36 cm x 23 cm;;40 kg;  ;NON;;+61 3 8341 4901;jetstar.com;Singapour;Singapour (SIN) ;Aéroport de Singapour Changi, Singapour;2004;;;;;4;18;; Airbus A320-200 ;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3L;Intersky;;;;;15kg; Tous les services sont payants  ;NON;;;;;Friedrichshafen (FDH) ;;;;;;;14.2 ;4;; De-Havilland-Canada DHC-8-300 ;3; Dornier Do-328 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
3M;Silver Airways;;;;;;  ;NON;;1 801- 401-9100;gosilver.com;;Fort Lauderdale (FLL) ;;;;;;;16.4 ;26;; Saab 340-Saab 340 ;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3O;Air Arabia Maroc;;;;;;  ;NON;;899190023;airarabia.com;;Casablanca - Mohammed V (CMN) ;;;;;;;3.8 ;5;; Airbus A320-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3R;Moskovia Airlines;Moscovia Airlines JSC ;;;;;  ;NON;;;;;;;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3S;Air Antilles Express;;5 kg;;;23 kg;  ;NON;;594350300;airguyane.com;Les îles de guadeloupe;Aéroport Guadeloupe - Pôle Caraïbes;97122 BAIE MAHAULT (GUADELOUPE);37591;;;;;4.4 ;4;; ATR 42/72-ATR 42 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3U;Sichuan Airlines;;;;;;  ;NON;;+86 28 8539 3949;scal.com.cn;;Chengdu (CTU) ;;31674;;;;;5.9 ;84;; Airbus A319-100 ;23; Airbus A320-200 ;33; Airbus A321-100 ;2; Airbus A321-200 ;20; Airbus A330-200 ;4; Airbus A330-300 ;2;;;;;;;;;;;;;;;;;;
3Y;Kartika Airlines;;;;;;  ;NON;;;;;Jakarta - Soekarno-Hatta (CGK) ;;;;;;;32.5 ;1;; Boeing 737-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4B;Aviastar;;;;;;  ;NON;;14154490505;boutiqueair.com;;;;;;;;;14.8 ;3;; Tupolev Tu-204 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4D;Air Sinai;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4G;Gazpromavia;Gazpromavia Aviation ;;;;;  ;NON;;;;;;;34759;;;;;5.5 ;22;; Boeing 737-700 ;3; Eurocopter EC135 ;8; Yakovlev Yak-42 ;1;;;;;;;;;;;;;;;;;;;;;;;;
4H;United Airways;United Airways Ltd ;;;;;  ;NON;;;;;;;2005;;;;;22.9 ;11;; ATR 42/72-ATR 72 ;3; Airbus A310-300 ;2; De Havilland Canada DHC-8-100 ;1; McDonnell Douglas MD-83 ;5;;;;;;;;;;;;;;;;;;;;;;
4M;LAN Argentina;;;55 cm x 35 cm x 25 cm;;45kg;  ;NON;;821231554;latam.com;Argentine;Aéroport Jorge Newbery;Buenos Aires;2005;;;;;13.1 ;15;; Airbus A320-200 ;13; Boeing 767-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
4N;Air North;;;9 x 16 x 20 pouces;;45 kg;  ;NON;;(867) 668.2228 ext 1>;flyairnorth.com;Canada;Aéroport international de Whitehorse;Whitehorse, Yukon;;;;;;24.5 ;6;; Boeing 737-200 ;1; Boeing 737-400 ;1; Boeing 737-500 ;4;;;;;;;;;;;;;;;;;;;;;;;;
